es_ID;Study_no;author;title;date;research_group;source;species_latin;species_eng;geographic_location;model_species_0_wild_1_lab;tip_label;sex;age;pollution_type;measured_part_oryginal;measured_part;colour_type;HSB;UV_VIS_UV_VIS_other;method;carotenoids_type;colour_comment;study_type;raw_or_model;n;ES_physic;ES_biol
83;11;Giraudeau, M;Effects of carotenoid supplementation and oxidative challenges on physiological parameters and carotenoid-based coloration in an urbanization context;2015;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Arizona; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;44;0.306598879;-0.306598879
84;12;Ruuskanen, S;No delayed behavioral and phenotypic responses to experimental early-life lead exposure in great tits (Parus major);2015;Eeva Lab/Rainio Lab;Web of Science;Parus major;great tit;"Ruissalo, Turku, Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feather (brest stripe);feathers;melanin-based;other;other;photo;NA;;E;raw;30;NA;-0.192461485
85;13;Eeva, T;Experimental manipulation of dietary lead levels in great tit nestlings: limited effects on growth, physiology and survival;2014;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta, Turku; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (yellow breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";E;model;28;-0.246394077;-0.246394077
86;13;Eeva, T;Experimental manipulation of dietary lead levels in great tit nestlings: limited effects on growth, physiology and survival;2014;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta, Turku; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (yellow breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";E;model;29;-0.21945889;-0.21945889
87;13;Eeva, T;Experimental manipulation of dietary lead levels in great tit nestlings: limited effects on growth, physiology and survival;2014;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta, Turku; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (yellow breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";E;model;31;-0.740093133;-0.740093133
88;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (blue chest);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;32;0.360555128;-0.360555128
89;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;M;AD;heavy_metals;feathers (blue chest);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;23;0.479583152;-0.479583152
90;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (blue back);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;32;0.316227766;-0.316227766
91;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;M;AD;heavy_metals;feathers (blue back);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;23;0.1;-0.1
92;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (rufous chest);feathers;melanin-based;brightness;UV-VIS;spectro;NA;;O;model;32;0.20976177;-0.20976177
93;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;M/F;AD;heavy_metals;feathers (white chest);feathers;structural;saturation;UV;spectro;NA;;O;model;55;0.244948974;0.244948974
100;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (rufous chest);feathers;melanin-based;hue;UV-VIS;spectro;NA;;O;model;32;-0.125491161;-0.125491161
101;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (rufous chest);feathers;melanin-based;saturation;UV-VIS;spectro;NA;;O;model;32;0.301967696;0.301967696
102;15;Hasegawa, M;Urban and colorful male house finches are less aggressive;2014;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Virginia; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;raw;24;0.772300703;-0.772300703
103;15;Hasegawa, M;Urban and colorful male house finches are less aggressive;2014;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Virginia; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;raw;23;0.569379642;-0.569379642
104;15;Hasegawa, M;Urban and colorful male house finches are less aggressive;2014;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Virginia; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;other;other;photo;converted;"""Converted""";O;raw;24;NA;0.392429415
105;15;Hasegawa, M;Urban and colorful male house finches are less aggressive;2014;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Virginia; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;other;other;photo;converted;"""Converted""";O;raw;23;NA;0.334299177
106;16;Chatelain, M;The adaptive function of melanin-based plumage coloration to trace metals;2014;CNRS;Web of Science;Columba livia;feral pigeons;"Virginia; USA";0;Columba_livia;F;AD;heavy_metals;feathers;feathers;melanin-based;other;other;photo;NA;;E;raw;82;NA;0.001760584
107;16;Chatelain, M;The adaptive function of melanin-based plumage coloration to trace metals;2014;CNRS;Web of Science;Columba livia;feral pigeons;"Virginia; USA";0;Columba_livia;M;AD;heavy_metals;feathers;feathers;melanin-based;other;other;photo;NA;;E;raw;106;NA;0
110;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;tongue;bare part;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;13;-0.306594;0.306594
112;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;eye-ring;bare part;carotenoid-based;saturation;VIS;photo;converted;"""Converted""";O;model;14;0.579483;-0.579483
113;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;gapes;bare part;carotenoid-based;saturation;VIS;photo;converted;"""Converted""";O;model;14;0.529056;0.529056
114;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;tongue;bare part;carotenoid-based;saturation;VIS;photo;converted;"""Converted""";O;model;13;0.52915;0.52915
120;18;Jacquin, L;A potential role for parasites in the maintenance of color polymorphism in urban birds;2013;CNRS;Web of Science;Columba livia;feral pigeons;"Arizona; USA";0;Columba_livia;M/F;MIXED;urbanisation;feathers;feathers;melanin-based;other;VIS;other;NA;;O;model;488;NA;0.134839973
121;19;Koivula, MJ;Metal pollution indirectly increases oxidative stress in great tit (Parus major) nestlings;2010;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers;feathers;carotenoid-based;saturation;VIS;photo;dietary;"""Dietary""";E;raw;56;-0.060515294;-0.060515294
122;19;Koivula, MJ;Metal pollution indirectly increases oxidative stress in great tit (Parus major) nestlings;2010;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers;feathers;carotenoid-based;saturation;VIS;photo;dietary;"""Dietary""";E;raw;57;-0.080853367;-0.080853367
123;19;Koivula, MJ;Metal pollution indirectly increases oxidative stress in great tit (Parus major) nestlings;2010;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers;feathers;carotenoid-based;saturation;VIS;photo;dietary;"""Dietary""";E;model;58;-0.073285257;-0.073285257
124;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;Kongsfjorden, Svalbard, Norway;0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;hue;UV-VIS;spectro;NA;;O;model;49;-0.144716142;-0.144716142
125;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;Kongsfjorden, Svalbard, Norway;0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;saturation;UV-VIS;spectro;NA;;O;model;49;-0.059734368;-0.059734368
126;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;Kongsfjorden, Svalbard, Norway;0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;saturation;UV-VIS;spectro;NA;;O;model;49;0.074578451;0.074578451
127;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;Kongsfjorden, Svalbard, Norway;0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;49;0.375715299;0.375715299
136;23;Eeva, T;The effects of diet quality and quantity on plumage colour and growth of great tit Parus major nestlings: a food manipulation experiment along a pollution gradient;2009;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;71;-0.396874234;-0.396874234
137;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;raw;13;0.070156333;0.070156333
138;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;F;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;raw;20;0.028924463;0.028924463
139;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;raw;13;NA;-0.400600815
140;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;F;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;raw;20;NA;-0.376266857
141;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M/F;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;raw;33;-0.431675853;-0.431675853
142;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M/F;JUV;heavy_metals;feathers (breast);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;raw;145;-0.149093719;-0.149093719
143;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M/F;JUV;heavy_metals;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;raw;145;NA;-0.17183581
144;24;Geens, A;Does anthropogenic metal pollution affect carotenoid colouration, antioxidative capacity and physiological condition of great tits (Parus major)?;2009;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M/F;JUV;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;raw;145;-0.226527973;-0.226527973
145;25;Dauwe, T;Melanin- and carotenoid-dependent signals of great tits (Parus major) relate differently to metal pollution;2008;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M/F;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;raw;40;-0.396047431;-0.396047431
146;25;Dauwe, T;Melanin- and carotenoid-dependent signals of great tits (Parus major) relate differently to metal pollution;2008;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;raw;20;NA;-0.465855962
147;25;Dauwe, T;Melanin- and carotenoid-dependent signals of great tits (Parus major) relate differently to metal pollution;2008;Eens Lab;Web of Science;Parus major;great tit;"Antwerp; Belgium";0;Parus_major;F;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;raw;22;NA;-0.433120267
148;25;Dauwe, T;Melanin- and carotenoid-dependent signals of great tits (Parus major) relate differently to metal pollution;2008;Eens Lab;Web of Science;Parus major;great tit;"Edmonton, Alberta; Canada";0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;melanin-based;other;other;photo;NA;;O;raw;7;NA;0.748800981
149;25;Dauwe, T;Melanin- and carotenoid-dependent signals of great tits (Parus major) relate differently to metal pollution;2008;Eens Lab;Web of Science;Parus major;great tit;"Edmonton, Alberta; Canada";0;Parus_major;F;AD;heavy_metals;feathers (breast);feathers;melanin-based;other;other;photo;NA;;O;raw;14;NA;0.59854038
150;26;Chatelain, M;Do trace metals select for darker birds in urban areas? An experimental exposure to lead and zinc;2016;Eens Lab;Web of Science;Columba livia;feral pigeons;"Edmonton, Alberta; Canada";0;Columba_livia;M/F;JUV;heavy_metals;feathers;feathers;melanin-based;other;other;photo;NA;;E;raw;20;NA;0.093987715
151;26;Chatelain, M;Do trace metals select for darker birds in urban areas? An experimental exposure to lead and zinc;2016;Eens Lab;Web of Science;Columba livia;feral pigeons;"Cape Peninsula, Western Cape; South Africa";0;Columba_livia;M/F;JUV;heavy_metals;feathers;feathers;melanin-based;other;other;photo;NA;;E;raw;20;NA;0.388729786
152;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;Eens Lab;Web of Science;Columba livia;feral pigeons;"Cape Peninsula, Western Cape; South Africa";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;brightness;UV-VIS;spectro;NA;;E;raw;10;-0.201704267;-0.201704267
153;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;Eens Lab;Web of Science;Columba livia;feral pigeons;"Ohio; USA";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;UV;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;-0.021428897
154;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;Eens Lab;Web of Science;Columba livia;feral pigeons;"Ohio; USA";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;-0.078665291
155;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;Eens Lab;Web of Science;Columba livia;feral pigeons;"Ohio; USA";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;0.077148917
156;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;Eens Lab;Web of Science;Columba livia;feral pigeons;"Ohio; USA";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;0.015661772
157;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;Eens Lab;Web of Science;Columba livia;feral pigeons;"Ohio; USA";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;brightness;UV-VIS;spectro;NA;;E;raw;9;-0.069542969;-0.069542969
158;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Ohio; USA";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;UV;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;-0.111234192
159;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;Harjavalta, Finland;0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;-0.111262897
160;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;0.13704624
161;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;0.20366053
162;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;brightness;UV-VIS;spectro;NA;;E;raw;10;0.188824172;-0.188824172
163;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;UV;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;-0.196881001
164;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;-0.157695963
165;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;0.225851782
166;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;10;NA;0.15996359
167;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;brightness;UV-VIS;spectro;NA;;E;raw;9;0.374904897;-0.374904897
168;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;UV;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;0.148728997
169;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;0.252691508
170;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;0.352340846
171;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers;feathers;melanin-based;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;9;NA;-0.234260145
172;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Antwerp; Belgium";0;Columba_livia;M/F;AD;heavy_metals;feathers (remige);feathers;melanin-based;other;other;photo;NA;;E;raw;39;NA;-0.16044426
173;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (remige);feathers;melanin-based;other;other;photo;NA;;E;raw;38;NA;0.041113835
174;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;UV;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;35;NA;-0.107213294
175;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;35;NA;-0.123002402
176;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;35;NA;0.019212208
177;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;35;NA;0.121160442
178;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;brightness;UV-VIS;spectro;NA;;E;raw;35;-0.154099812;-0.154099812
179;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;UV;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;36;NA;0.012337585
180;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;36;NA;0.098952314
181;27;Chatelain, M;Do trace metals influence visual signals? Effects of trace metals on iridescent and melanic feather colouration in the feral pigeon;2017;CNRS;Web of Science;Columba livia;feral pigeons;"Paris; France";0;Columba_livia;M/F;AD;heavy_metals;feathers (neck);feathers;structural;other;VIS;spectro;NA;photorecep-tor responses (Q1, Q2, Q3 and Q4 quantum catches);E;raw;36;NA;-0.066522413
